,Country,Region,Population,Area,Pop. Density,Infant mortality (per 1000 births),GDP ($ per capita),Birthrate,Deathrate
0,Angola,SUB-SAHARAN AFRICA,12127071.0,1246700,9.7,191.19,1900.0,45.11,24.2
1,Afghanistan,ASIA,,647500,15.3,163.07,700.0,46.6,20.34
2,Sierra Leone,SUB-SAHARAN AFRICA,6005250.0,71740,83.7,143.64,500.0,45.76,23.03
3,Mozambique,SUB-SAHARAN AFRICA,19686505.0,801590,24.6,130.79,1200.0,35.18,21.35
4,Liberia,SUB-SAHARAN AFRICA,3042004.0,111370,27.3,128.87,1000.0,44.77,23.1
5,Niger,SUB-SAHARAN AFRICA,12525094.0,1267000,9.9,121.69,800.0,50.73,20.91
6,Mali,SUB-SAHARAN AFRICA,,1240000,9.5,116.79,900.0,49.82,16.89
7,Somalia,SUB-SAHARAN AFRICA,8863338.0,637657,13.9,116.7,500.0,45.13,16.63
8,Tajikistan,C.W. OF IND. STATES,7320815.0,143100,51.2,110.76,1000.0,32.65,8.25
9,Guinea-Bissau,SUB-SAHARAN AFRICA,1442029.0,36120,39.9,107.17,800.0,37.22,16.53
10,Djibouti,SUB-SAHARAN AFRICA,486530.0,23000,21.2,104.13,1300.0,39.53,19.31
11,Malawi,SUB-SAHARAN AFRICA,13013926.0,118480,109.8,103.32,600.0,43.13,19.33
12,Bhutan,ASIA,2279723.0,47000,48.5,100.44,1300.0,33.65,12.7
13,Nigeria,SUB-SAHARAN AFRICA,131859731.0,923768,142.7,98.8,900.0,40.43,16.94
14,Tanzania,SUB-SAHARAN AFRICA,37445392.0,945087,39.6,98.54,600.0,37.71,16.39
15,Burkina Faso,SUB-SAHARAN AFRICA,13902972.0,274200,50.7,97.57,1100.0,45.62,15.6
16,Ethiopia,SUB-SAHARAN AFRICA,74777981.0,1127127,66.3,95.32,700.0,37.98,14.86
17,Congo. Dem. Rep.,SUB-SAHARAN AFRICA,62660551.0,2345410,26.7,94.69,700.0,43.69,13.27
18,Congo. Repub. of the,SUB-SAHARAN AFRICA,3702314.0,342000,10.8,93.86,700.0,42.57,12.93
19,Chad,SUB-SAHARAN AFRICA,9944201.0,1284000,7.7,93.82,1200.0,45.73,16.38
20,Rwanda,SUB-SAHARAN AFRICA,8648248.0,26338,328.4,91.23,1300.0,40.37,16.09
21,Central African Rep.,SUB-SAHARAN AFRICA,4303356.0,622984,6.9,91.0,1100.0,33.91,18.65
22,Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843.0,322460,54.8,90.83,1400.0,35.11,14.84
23,Guinea,SUB-SAHARAN AFRICA,9690222.0,245857,39.4,90.37,2100.0,41.76,15.48
24,Zambia,SUB-SAHARAN AFRICA,11502010.0,752614,15.3,88.29,800.0,41.0,19.93
25,Laos,ASIA,6368481.0,236800,26.9,85.22,1700.0,35.49,11.55
26,Equatorial Guinea,SUB-SAHARAN AFRICA,540109.0,28051,19.3,85.13,2700.0,35.59,15.06
27,Benin,SUB-SAHARAN AFRICA,7862944.0,112620,69.8,85.0,1100.0,38.85,12.22
28,Lesotho,SUB-SAHARAN AFRICA,2022331.0,30355,66.6,84.23,3000.0,24.75,28.71
29,Azerbaijan,C.W. OF IND. STATES,7961619.0,86600,91.9,81.74,3400.0,20.74,9.75
30,Madagascar,SUB-SAHARAN AFRICA,18595469.0,587040,31.7,76.83,800.0,41.41,11.11
31,Comoros,SUB-SAHARAN AFRICA,690948.0,2170,318.4,74.93,700.0,36.93,8.2
32,Eritrea,SUB-SAHARAN AFRICA,4786994.0,121320,39.5,74.87,700.0,34.33,9.6
33,Haiti,LATIN AMER. & CARIB,8308504.0,27750,299.4,73.45,1600.0,36.44,12.17
34,Turkmenistan,C.W. OF IND. STATES,5042920.0,488100,10.3,73.08,5800.0,27.61,8.6
35,Pakistan,ASIA,165803560.0,803940,206.2,72.44,2100.0,29.74,8.23
36,Gambia. The,SUB-SAHARAN AFRICA,1641564.0,11300,145.3,72.02,1700.0,39.37,12.25
37,Cambodia,ASIA,13881427.0,181040,76.7,71.48,1900.0,26.9,9.06
38,Uzbekistan,C.W. OF IND. STATES,27307134.0,447400,61.0,71.1,1700.0,26.36,7.84
39,Mauritania,SUB-SAHARAN AFRICA,3177388.0,1030700,3.1,70.89,1800.0,40.99,12.16
40,Burundi,SUB-SAHARAN AFRICA,8090068.0,27830,290.7,69.29,600.0,42.22,13.46
41,Swaziland,SUB-SAHARAN AFRICA,1136334.0,17363,65.5,69.27,4900.0,27.41,29.74
42,Cameroon,SUB-SAHARAN AFRICA,17340702.0,475440,36.5,68.26,1800.0,33.89,13.47
43,Uganda,SUB-SAHARAN AFRICA,28195754.0,236040,119.5,67.83,1400.0,47.35,12.24
44,Zimbabwe,SUB-SAHARAN AFRICA,12236805.0,390580,31.3,67.69,1900.0,28.01,21.84
45,Burma,ASIA,47382633.0,678500,69.8,67.24,1800.0,17.91,9.83
46,Nepal,ASIA,28287147.0,147181,192.2,66.98,1400.0,30.98,9.31
47,Togo,SUB-SAHARAN AFRICA,5548702.0,56785,97.7,66.61,1500.0,37.01,9.83
48,Bangladesh,ASIA,147365352.0,144000,1023.4,62.6,1900.0,15.5,8.27
49,Sudan,SUB-SAHARAN AFRICA,41236378.0,2505810,16.5,62.5,1900.0,34.53,8.97
50,Mayotte,SUB-SAHARAN AFRICA,201234.0,374,538.1,62.4,2600.0,40.95,7.7
51,South Africa,SUB-SAHARAN AFRICA,44187637.0,1219912,36.2,61.81,10700.0,18.2,22.0
52,Yemen,NEAR EAST,21456188.0,527970,40.6,61.5,800.0,42.89,8.3
53,Kenya,SUB-SAHARAN AFRICA,34707817.0,582650,59.6,61.47,1000.0,39.72,14.02
54,Maldives,ASIA,359008.0,300,1196.7,56.52,3900.0,34.81,7.06
55,India,ASIA,1095351995.0,3287590,333.2,56.29,2900.0,22.01,8.18
56,Senegal,SUB-SAHARAN AFRICA,11987121.0,196190,61.1,55.51,1600.0,32.78,9.42
57,Vanuatu,OCEANIA,208869.0,12200,17.1,55.16,2900.0,22.72,7.82
58,Botswana,SUB-SAHARAN AFRICA,1639833.0,600370,2.7,54.58,9000.0,23.08,29.5
59,Mongolia,ASIA,2832224.0,1564116,1.8,53.79,1800.0,21.59,6.95
60,Gabon,SUB-SAHARAN AFRICA,1424906.0,267667,5.3,53.64,5500.0,36.16,12.25
61,Bolivia,LATIN AMER. & CARIB,8989046.0,1098580,8.2,53.11,2400.0,23.3,7.53
62,Papua New Guinea,OCEANIA,5670544.0,462840,12.3,51.45,2200.0,29.36,7.25
63,Ghana,SUB-SAHARAN AFRICA,22409572.0,239460,93.6,51.43,2200.0,30.52,9.72
64,Iraq,NEAR EAST,26783383.0,437072,61.3,50.25,1500.0,31.98,5.37
65,Namibia,SUB-SAHARAN AFRICA,2044147.0,825418,2.5,48.98,7200.0,24.32,18.86
66,Kiribati,OCEANIA,105432.0,811,130.0,48.52,800.0,30.65,8.26
67,Cape Verde,SUB-SAHARAN AFRICA,420979.0,4033,104.4,47.77,1400.0,24.87,6.55
68,East Timor,ASIA,1062777.0,15007,70.8,47.41,500.0,26.99,6.24
69,Sao Tome & Principe,SUB-SAHARAN AFRICA,193413.0,1001,193.2,43.11,1200.0,40.25,6.47
70,Morocco,NORTHERN AFRICA,33241259.0,446550,74.4,41.62,4000.0,21.98,5.58
71,Iran,ASIA,68688433.0,1648000,41.7,41.58,7000.0,17.0,5.55
72,Turkey,NEAR EAST,70413958.0,780580,90.2,41.04,6700.0,16.62,5.97
73,Moldova,C.W. OF IND. STATES,4466706.0,33843,132.0,40.42,1800.0,15.7,12.64
74,Guatemala,LATIN AMER. & CARIB,12293545.0,108890,112.9,35.93,4100.0,29.88,5.2
75,Kyrgyzstan,C.W. OF IND. STATES,5213898.0,198500,26.3,35.64,1600.0,22.8,7.08
76,Indonesia,ASIA,245452739.0,1919440,127.9,35.6,3200.0,20.34,6.25
77,Guyana,LATIN AMER. & CARIB,767245.0,214970,3.6,33.26,4000.0,18.28,8.28
78,Egypt,NORTHERN AFRICA,78887007.0,1001450,78.8,32.59,4000.0,22.94,5.23
79,Dominican Republic,LATIN AMER. & CARIB,9183984.0,48730,188.5,32.38,6000.0,23.22,5.73
80,Peru,LATIN AMER. & CARIB,28302603.0,1285220,22.0,31.94,5100.0,20.48,6.23
81,Algeria,NORTHERN AFRICA,32930091.0,2381740,13.8,31.0,6000.0,17.14,4.61
82,Micronesia. Fed. St.,OCEANIA,108004.0,702,153.9,30.21,2000.0,24.68,4.75
83,Brazil,LATIN AMER. & CARIB,188078227.0,8511965,22.1,29.61,7600.0,16.56,6.17
84,Syria,NEAR EAST,18881361.0,185180,102.0,29.53,3300.0,27.76,4.81
85,Marshall Islands,OCEANIA,60422.0,11854,5.1,29.45,1600.0,33.05,4.78
86,Honduras,LATIN AMER. & CARIB,7326496.0,112090,65.4,29.32,2600.0,28.24,5.28
87,Kazakhstan,C.W. OF IND. STATES,15233244.0,2717300,5.6,29.21,6300.0,16.0,9.42
88,Nicaragua,LATIN AMER. & CARIB,5570129.0,129494,43.0,29.11,2300.0,24.51,4.45
89,Samoa,OCEANIA,176908.0,2944,60.1,27.71,5600.0,16.43,6.62
90,Romania,EASTERN EUROPE,22303552.0,237500,93.9,26.43,7000.0,10.7,11.77
91,Vietnam,ASIA,84402966.0,329560,256.1,25.95,2500.0,16.86,6.22
92,Belize,LATIN AMER. & CARIB,287730.0,22966,12.5,25.69,4900.0,28.84,5.72
93,Paraguay,LATIN AMER. & CARIB,6506464.0,406750,16.0,25.63,4700.0,29.1,4.49
94,Bahamas. The,LATIN AMER. & CARIB,303770.0,13940,21.8,25.21,16700.0,17.57,9.05
95,El Salvador,LATIN AMER. & CARIB,6822378.0,21040,324.3,25.1,4800.0,26.61,5.78
96,Tunisia,NORTHERN AFRICA,10175014.0,163610,62.2,24.77,6900.0,15.52,5.13
97,Libya,NORTHERN AFRICA,5900754.0,1759540,3.4,24.6,6400.0,26.49,3.48
98,Lebanon,NEAR EAST,3874050.0,10400,372.5,24.52,4800.0,18.52,6.21
99,Trinidad & Tobago,LATIN AMER. & CARIB,1065842.0,5128,207.9,24.31,9500.0,12.9,10.57
100,China,ASIA,1313973713.0,9596960,136.9,24.18,5000.0,13.25,6.97
101,Korea. North,ASIA,23113019.0,120540,191.8,24.04,1300.0,15.54,7.13
102,Ecuador,LATIN AMER. & CARIB,13547510.0,283560,47.8,23.66,3300.0,22.29,4.23
103,Suriname,LATIN AMER. & CARIB,439117.0,163270,2.7,23.57,4000.0,18.02,7.27
104,Philippines,ASIA,89468677.0,300000,298.2,23.51,4600.0,24.89,5.41
105,Armenia,C.W. OF IND. STATES,2976372.0,29800,99.9,23.28,3500.0,12.07,
106,Gaza Strip,NEAR EAST,1428757.0,360,3968.8,22.93,600.0,39.45,3.8
107,Venezuela,LATIN AMER. & CARIB,25730435.0,912050,28.2,22.2,4800.0,18.71,4.92
108,Albania,EASTERN EUROPE,3581655.0,28748,124.6,21.52,4500.0,15.11,5.22
109,Solomon Islands,OCEANIA,552438.0,28450,19.4,21.29,1700.0,30.01,3.92
110,Bosnia & Herzegovina,EASTERN EUROPE,4498976.0,51129,88.0,21.05,6100.0,8.77,8.27
111,Anguilla,LATIN AMER. & CARIB,,102,132.1,21.03,8600.0,14.17,5.34
112,Colombia,LATIN AMER. & CARIB,43593035.0,1138910,38.3,20.97,6300.0,20.48,5.58
113,Mexico,LATIN AMER. & CARIB,107449525.0,1972550,54.5,20.91,9000.0,20.69,4.74
114,Bulgaria,EASTERN EUROPE,7385367.0,110910,66.6,20.55,7600.0,9.65,14.27
115,Thailand,ASIA,64631595.0,514000,125.7,20.48,7400.0,13.87,7.04
116,Panama,LATIN AMER. & CARIB,3191319.0,78200,40.8,20.47,6300.0,21.74,5.36
117,Ukraine,C.W. OF IND. STATES,46710816.0,603700,77.4,20.34,5400.0,8.82,14.39
118,Tuvalu,OCEANIA,11810.0,26,454.2,20.03,1100.0,22.18,7.11
119,West Bank,NEAR EAST,2460492.0,5860,419.9,19.62,800.0,31.67,3.92
120,Oman,NEAR EAST,3102229.0,212460,14.6,19.51,13100.0,36.24,3.81
121,Antigua & Barbuda,LATIN AMER. & CARIB,69108.0,443,,19.46,11000.0,16.93,5.37
122,Saint Helena,SUB-SAHARAN AFRICA,7502.0,413,18.2,19.0,2500.0,12.13,6.53
123,Qatar,NEAR EAST,885359.0,11437,77.4,18.61,21500.0,15.56,4.72
124,Georgia,C.W. OF IND. STATES,4661473.0,69700,66.9,18.59,2500.0,10.41,9.23
125,British Virgin Is.,LATIN AMER. & CARIB,23098.0,153,151.0,18.05,16000.0,14.89,4.42
126,Malaysia,ASIA,24385858.0,329750,74.0,17.7,9000.0,22.86,5.05
127,Jordan,NEAR EAST,5906760.0,92300,64.0,17.35,4300.0,21.25,2.65
128,Bahrain,NEAR EAST,698585.0,665,1050.5,17.27,16900.0,17.8,4.14
129,Greenland,NORTHERN AMERICA,56361.0,2166086,0.0,15.82,20000.0,15.93,7.84
130,Turks & Caicos Is,LATIN AMER. & CARIB,21152.0,430,49.2,15.67,9600.0,21.84,4.21
131,Seychelles,SUB-SAHARAN AFRICA,81541.0,455,179.2,15.53,7800.0,16.03,6.29
132,Russia,C.W. OF IND. STATES,142893540.0,17075200,8.4,15.39,8900.0,9.95,14.65
133,Argentina,LATIN AMER. & CARIB,39921833.0,2766890,14.4,15.18,11200.0,16.73,7.55
134,Mauritius,SUB-SAHARAN AFRICA,1240827.0,2040,608.3,15.03,11400.0,15.43,6.86
135,Palau,OCEANIA,20579.0,458,44.9,14.84,9000.0,18.03,6.8
136,Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848.0,389,303.0,14.78,2900.0,16.18,5.98
137,Grenada,LATIN AMER. & CARIB,89703.0,344,260.8,14.62,5000.0,22.08,6.88
138,United Arab Emirates,NEAR EAST,2602713.0,82880,31.4,14.51,23200.0,18.96,4.4
139,Saint Kitts & Nevis,LATIN AMER. & CARIB,39129.0,261,149.9,14.49,8800.0,18.02,8.33
140,Sri Lanka,ASIA,20222240.0,65610,308.2,14.35,3700.0,15.51,6.52
141,Dominica,LATIN AMER. & CARIB,68910.0,754,91.4,14.15,5400.0,15.27,6.73
142,Saint Lucia,LATIN AMER. & CARIB,168458.0,616,273.5,13.53,5400.0,19.68,5.08
143,Belarus,C.W. OF IND. STATES,10293011.0,207600,49.6,13.37,6100.0,11.16,14.02
144,Saudi Arabia,NEAR EAST,27019731.0,1960582,13.8,13.24,11800.0,29.34,2.58
145,Serbia,EASTERN EUROPE,9396411.0,88361,106.3,12.89,2200.0,,
146,Fiji,OCEANIA,905949.0,18270,49.6,12.62,5800.0,22.55,5.65
147,Tonga,OCEANIA,114689.0,748,153.3,12.62,2200.0,25.37,5.28
148,Brunei,ASIA,379444.0,5770,65.8,12.61,18600.0,18.79,3.45
149,Barbados,LATIN AMER. & CARIB,,431,649.5,12.5,15700.0,12.71,8.67
150,Jamaica,LATIN AMER. & CARIB,2758124.0,10991,250.9,12.36,3900.0,20.82,6.52
151,French Guiana,LATIN AMER. & CARIB,199509.0,91000,2.2,12.07,8300.0,20.46,4.88
152,Uruguay,LATIN AMER. & CARIB,3431932.0,176220,19.5,11.95,12800.0,13.91,9.05
153,Macedonia,EASTERN EUROPE,2050554.0,25333,80.9,10.09,6700.0,12.02,8.77
154,Netherlands Antilles,LATIN AMER. & CARIB,221736.0,960,231.0,10.03,11400.0,14.78,6.45
155,Costa Rica,LATIN AMER. & CARIB,4075261.0,51100,79.8,9.95,9100.0,18.32,4.36
156,Kuwait,NEAR EAST,2418393.0,17820,135.7,9.95,19000.0,21.94,2.41
157,Nauru,OCEANIA,13287.0,21,632.7,9.95,5000.0,24.76,6.7
158,Latvia,BALTICS,2274735.0,64589,35.2,9.55,10200.0,9.24,13.66
159,American Samoa,OCEANIA,57794.0,199,290.4,9.27,8000.0,22.46,3.27
160,Chile,LATIN AMER. & CARIB,16134219.0,756950,21.3,8.8,9900.0,15.23,5.81
161,Guadeloupe,LATIN AMER. & CARIB,452776.0,1780,254.4,8.6,8000.0,15.05,6.09
162,Hungary,EASTERN EUROPE,9981334.0,93030,107.3,8.57,13900.0,9.72,13.11
163,Bermuda,NORTHERN AMERICA,65773.0,53,1241.0,8.53,36000.0,11.4,7.74
164,Poland,EASTERN EUROPE,38536869.0,312685,123.3,8.51,11100.0,9.85,9.89
165,French Polynesia,OCEANIA,274578.0,4167,65.9,8.44,17500.0,16.68,4.69
166,Puerto Rico,LATIN AMER. & CARIB,3927188.0,13790,284.8,8.24,16800.0,12.77,7.65
167,Cayman Islands,LATIN AMER. & CARIB,45436.0,262,173.4,8.19,35000.0,12.74,4.89
168,Virgin Islands,LATIN AMER. & CARIB,108605.0,1910,56.9,8.03,17200.0,13.96,6.43
169,Estonia,BALTICS,1324333.0,45226,29.3,7.87,12300.0,10.04,13.25
170,Reunion,SUB-SAHARAN AFRICA,787584.0,2517,312.9,7.78,5800.0,18.9,5.49
171,New Caledonia,OCEANIA,219246.0,19060,11.5,7.72,15000.0,18.11,5.69
172,St Pierre & Miquelon,NORTHERN AMERICA,7026.0,242,29.0,7.54,6900.0,13.52,6.83
173,Slovakia,EASTERN EUROPE,5439448.0,48845,111.4,7.41,13300.0,10.65,9.45
174,Montserrat,LATIN AMER. & CARIB,9439.0,102,92.5,7.35,3400.0,17.59,7.1
175,Cyprus,NEAR EAST,784301.0,9250,84.8,7.18,19200.0,12.56,7.68
176,N. Mariana Islands,OCEANIA,82459.0,477,172.9,7.11,12500.0,19.43,2.29
177,Martinique,LATIN AMER. & CARIB,436131.0,1100,396.5,7.09,14400.0,13.74,6.48
178,Korea. South,ASIA,48846823.0,98480,496.0,7.05,17800.0,10.0,5.85
179,Israel,NEAR EAST,6352117.0,20770,305.8,7.03,19800.0,17.97,6.18
180,Guam,OCEANIA,171019.0,541,316.1,6.94,21000.0,18.79,4.48
181,Lithuania,BALTICS,3585906.0,65200,55.0,6.89,11400.0,8.75,10.98
182,Croatia,EASTERN EUROPE,4494749.0,56542,79.5,6.84,10600.0,9.61,11.48
183,United States,NORTHERN AMERICA,298444215.0,9631420,31.0,6.5,37800.0,14.14,8.26
184,Taiwan,ASIA,23036087.0,35980,640.3,6.4,23400.0,12.56,6.48
185,Cuba,LATIN AMER. & CARIB,11382820.0,110860,102.7,6.33,2900.0,11.89,7.22
186,Faroe Islands,WESTERN EUROPE,47246.0,1399,33.8,6.24,22000.0,14.05,8.7
187,Italy,WESTERN EUROPE,58133509.0,301230,193.0,5.94,26700.0,8.72,10.4
188,Isle of Man,WESTERN EUROPE,75441.0,572,131.9,5.93,21000.0,11.05,11.19
189,Aruba,LATIN AMER. & CARIB,71891.0,193,372.5,5.89,28000.0,11.03,6.68
190,New Zealand,OCEANIA,4076140.0,268680,15.2,5.85,21600.0,13.76,7.53
191,San Marino,WESTERN EUROPE,29251.0,61,479.5,5.73,34600.0,10.02,8.17
192,Greece,WESTERN EUROPE,10688058.0,131940,81.0,5.53,20000.0,9.68,10.24
193,Monaco,WESTERN EUROPE,32543.0,2,16271.5,5.43,27000.0,9.19,12.91
194,Ireland,WESTERN EUROPE,4062235.0,70280,57.8,5.39,29600.0,14.45,7.82
195,Jersey,WESTERN EUROPE,91084.0,116,785.2,5.24,24800.0,9.3,9.28
196,United Kingdom,WESTERN EUROPE,60609153.0,244820,247.6,5.16,27700.0,10.71,10.13
197,Gibraltar,WESTERN EUROPE,27928.0,7,3989.7,5.13,17500.0,10.74,9.31
198,Portugal,WESTERN EUROPE,10605870.0,92391,114.8,5.05,18000.0,10.72,10.5
199,Netherlands,WESTERN EUROPE,16491461.0,41526,397.1,5.04,28600.0,10.9,8.68
200,Luxembourg,WESTERN EUROPE,474413.0,2586,183.5,4.81,55100.0,11.94,8.41
201,Canada,NORTHERN AMERICA,33098932.0,9984670,3.3,4.75,29800.0,10.78,7.8
202,Guernsey,WESTERN EUROPE,65409.0,78,838.6,4.71,20000.0,8.81,10.01
203,Liechtenstein,WESTERN EUROPE,33987.0,160,212.4,4.7,25000.0,10.21,7.18
204,Australia,OCEANIA,20264082.0,7686850,2.6,4.69,29000.0,12.14,7.51
205,Belgium,WESTERN EUROPE,10379067.0,30528,340.0,4.68,29100.0,10.38,10.27
206,Austria,WESTERN EUROPE,8192880.0,83870,97.7,4.66,30000.0,8.74,9.76
207,Denmark,WESTERN EUROPE,5450661.0,43094,126.5,4.56,31100.0,11.13,10.36
208,Slovenia,EASTERN EUROPE,2010347.0,20273,99.2,4.45,19000.0,8.98,10.31
209,Spain,WESTERN EUROPE,40397842.0,504782,80.0,4.42,22000.0,10.06,9.72
210,Macau,ASIA,453125.0,28,16183.0,4.39,19400.0,8.48,4.47
211,Switzerland,WESTERN EUROPE,7523934.0,41290,182.2,4.39,32700.0,9.71,8.49
212,France,WESTERN EUROPE,60876136.0,547030,111.3,4.26,27600.0,11.99,9.14
213,Germany,WESTERN EUROPE,82422299.0,357021,230.9,4.16,27600.0,8.25,10.62
214,Andorra,WESTERN EUROPE,71201.0,468,152.1,4.05,,8.71,6.25
215,Czech Republic,EASTERN EUROPE,10235455.0,78866,129.8,3.93,15700.0,9.02,10.59
216,Malta,WESTERN EUROPE,400214.0,316,1266.5,3.89,17700.0,10.22,8.1
217,Norway,WESTERN EUROPE,4610820.0,323802,14.2,3.7,37800.0,11.46,9.4
218,Finland,WESTERN EUROPE,5231372.0,338145,15.5,3.57,27400.0,10.45,9.86
219,Iceland,WESTERN EUROPE,299388.0,103000,2.9,3.31,30900.0,13.64,6.72
220,Japan,ASIA,127463611.0,377835,337.4,3.26,28200.0,9.37,9.16
221,Hong Kong,ASIA,6940432.0,1092,6355.7,2.97,28800.0,7.29,6.29
222,Sweden,WESTERN EUROPE,9016596.0,449964,20.0,2.77,26800.0,10.27,10.31
223,Singapore,ASIA,4492150.0,693,6482.2,2.29,23700.0,9.34,4.28
